id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
186370,1150,Broken Sword: The Smoking Mirror,"Several months after the events of The Shadow of the Templars, George Stobbart and Nicole Collard visit an archaeologist named Professor Oubier to learn about a mysterious Mayan stone for a newspaper story, but soon caught in another conspiracy.",1997-09-01 00:00:00.000,53,NULL,NULL,NULL,84.0216,127
61966,42596,Brunswick World: Tournament of Champions,NULL,1997-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
94798,1446,BS Fire Emblem: Archanea Senki-hen,"Part 1: Fall of the Palace
The Dolhr army, led by Earth Dragon Medeus, has invaded the palace of Archanea. You take control of Princess Nyna, and her soldiers, as they try to flee from the palace. Blocking their way are Dolhr soldiers who you must defeat. The lord character of this chapter is Nyna, a bishop. She is accompanied by Boah, a bishop; Tomas, an archer; Midia, a paladin; and Dolph and Macellan, both Armor Knights.

Part 2: The Red Dragon Knight
Minerva discovers deserters of her Medonian army have been attacking villages near Aurelis. Although Hardin is her enemy, she decides to join forces with him to defeat the deserters. The lord characters of this chapter are Minerva, a dragon knight and Hardin, a cavalier. They are accompanied by Catria and Est, both Pegasus Knights; Wolf, a horseman; Roshea, a cavalier; and Frost, a bishop.

Part 3: Thieves' Gang of Justice
Many days have passed since the palace of Archanea was invaded. Rickard and Lena, along with Navarre and Castor, sneak into the palace to steal treasures to aid the poor, and perhaps themselves as well. The lord character of this chapter is Rickard. He is accompanied by Lena, a sister; Navarre, a mercenary; Castor, a hunter; Dice, a fighter; and Malice, a mercenary.

Part 4: The Beginning
Two years have passed since Archanea fell. Nyna is currently under the protection of the Grustian Sable Knights, led by Camus. However she is endlessly pursued by Medeus' forces. Camus decides the best option is to head for Aurelis, in hope that Prince Hardin will offer her protection. The lord characters of this chapter are Nyna, a bishop, and Camus, a paladin. They are accompanied by Reiden and Belf, both cavaliers; and Robert, a horseman.",1997-09-28 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
72673,42259,BS F-Zero Grand Prix,NULL,1997-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
104046,151577,BS F-Zero Grand Prix 2,NULL,1997-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
150770,38348,BS F-Zero Grand Prix 2: Practice,NULL,1997-09-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
162610,150170,BS Ihatovo Monogatari,NULL,1997-03-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
160944,98197,BS Nichibutsu Mahjong,NULL,1997-01-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34189,67025,BS Super Mario Collection,NULL,1997-12-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70517,68227,BS Tantei Club: Yuki ni Kieta Kako,NULL,1997-02-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
